رسمن رسما
روحن روحا
سابعن سابعا
سابقن سابقا
سادسن سادسا
شدیدن شدیدا
شفاهن شفاها
صحیحن صحیحا
سهون سهوا
ثالثن ثالثا
ثامنن ثامنا
ثانین ثانیا
شرعن شرعا
سریعن سریعا
صریحن صریحا
شرقن شرقا
شخصن شخصا
سنن سنا
صراحتن صراحتا
صرفن صرفا
سومن سوما
تعبدن تعبدا
تعمدن تعمدا
تبعن تبعا
طبعن طبعا
طبیعتن طبیعتا
تدریجن تدریجا
تفصیلن تفصیلا
تحقیقن تحقیقا
تلویحن تلویحا
تمامن تماما
تقریبن تقریبا
ترجیحن ترجیحا
تصادفن تصادفا
تصریحن تصریحا
تلفنن تلفنا
تلگرافن تلگرافا
توأمن توأما
توضیحن توضیحا
طولن طولا
واقعن واقعا
وسیعن وسیعا
وجدانن وجدانا
وکالتن وکالتا
ولایتن ولایتا
وجوبن وجوبا
خامسن خامسا
خصوصن خصوصا
یقینن یقینا
ظاهرن ظاهرا
ضرورتن ضرورتا
ذاتن ذاتا
ضمنن ضمنا
ذیلن ذیلا

یه یک
ی یک
چار چهار
چاهار چهار
شیش شش
پونزده پانزده
شونزده شانزده
هوده هفده
هیوده هفده
هیجده هجده
هیژده هجده
دیویست دویست
چارصد چهارصد
پونصد پانصد
شیشصد ششصد
ملیارد میلیارد
ترلیون تیرلیون

ب به
واسه برای
برا برای

ایشون ایشان

دیگه دیگر
هیشکس هچکس
هیشکسی هیچکسی
هیشکی هیچکسی
چنتا چند*تا
چنتایی چند*تایی
هیچیز هیچ*چیز

اون آن
همون همان
انقدر آنقدر
انقد آنقدر
اینقد این قدر
همون‌طور همان*طور
همون‌جور همان*جور
اون‌همه آن*همه

کدوم کدام
کدومی کدامی
کدمیکی کدام*یکی

تهرون تهران
ایرون ایرون
اصفهون اصفهان
کرمون کرمان
همدون همدان

ممد محمد

جون جان

ماشالا ماشاالله
واه واه
یالا یاالله

اوستا استاد
خانوم خانم
